student_id,name,gender,age,study_hours,previous_score,attendance_percentage,parent_education_level,parent_income,internet_access_at_home,sleep_hours,extracurricular_activities,tuition_classes,library_access,transport_facility,midterm_score,assignment_score,quiz_score,project_score,final_score,grade
S0119,James Carter,Female,16,3.8,83,69,Bachelor's,65635,Yes,5,No,Yes,No,Yes,59,58,49,67,60.5,C
S0120,Olivia Robinson,Female,17,4.8,69,87,Bachelor's,80487,No,7,No,Yes,Yes,Yes,56,57,58,72,62.9,C
S0121,Lucas Rogers,Female,18,6.4,88,88,Master's,92148,Yes,7,Yes,Yes,No,Yes,66,77,71,74,72.2,B
S0122,Charlotte Nelson,Female,19,5.1,69,95,PhD,166918,Yes,8,No,Yes,Yes,No,62,60,67,62,62.4,C
S0123,Benjamin Garcia,Female,16,4.0,65,77,High School,48748,No,8,No,Yes,Yes,No,60,56,65,59,59.6,D
S0124,Charlotte Scott,Male,17,6.1,82,81,PhD,135256,Yes,7,Yes,No,Yes,No,70,73,60,69,68.7,C
S0125,Michael Clark,Male,18,4.7,98,68,Master's,115005,No,9,No,No,No,No,74,70,65,57,65.0,C
S0126,Lily Harris,Male,16,4.8,76,97,Bachelor's,61638,Yes,8,Yes,Yes,Yes,No,63,70,69,64,65.7,C
S0127,Grace Brown,Male,18,5.0,83,83,High School,34651,Yes,9,Yes,Yes,Yes,No,60,66,61,69,65.0,C
S0128,Matthew Clark,Female,17,5.9,69,89,High School,30609,Yes,7,Yes,Yes,No,Yes,68,62,63,59,62.4,C
S0129,Samantha Martinez,Female,17,4.5,60,90,Bachelor's,62940,Yes,7,No,No,Yes,Yes,46,62,59,61,57.2,D
S0130,Brandon Nelson,Male,19,6.0,77,97,Master's,101755,No,6,Yes,Yes,No,No,71,71,73,66,69.3,C
S0131,Sarah Phillips,Male,16,4.9,79,74,High School,53382,Yes,8,Yes,No,Yes,Yes,69,59,65,60,62.8,C
S0132,Emily Campbell,Male,18,3.4,71,89,Bachelor's,71999,Yes,6,Yes,Yes,No,Yes,58,57,64,59,59.1,D
S0133,John Anderson,Female,18,4.9,83,82,Master's,107394,Yes,7,Yes,No,Yes,No,67,69,61,60,63.7,C
S0134,Chloe Young,Female,15,3.5,67,100,Master's,87253,Yes,7,Yes,Yes,No,Yes,48,66,56,48,52.8,D
S0135,Savannah Walker,Male,18,5.1,64,74,PhD,110864,Yes,7,No,No,No,No,49,57,62,60,57.0,D
S0136,Joshua Green,Female,19,6.2,88,94,Bachelor's,56268,Yes,7,No,Yes,Yes,No,74,67,61,80,73.0,B
S0137,Zoe Mitchell,Female,16,3.4,88,86,Bachelor's,62454,Yes,6,Yes,No,Yes,Yes,66,62,63,71,66.8,C
S0138,William Martin,Male,18,5.5,67,85,Master's,98666,Yes,7,Yes,Yes,Yes,No,48,64,60,65,59.8,D
S0139,Grace Rogers,Female,17,3.8,96,83,Bachelor's,80360,Yes,7,Yes,No,Yes,Yes,65,71,64,70,68.1,C
S0140,Gabriel Johnson,Female,17,5.3,72,95,High School,50955,Yes,9,No,No,No,Yes,60,58,65,60,60.4,C
S0141,John Rogers,Male,17,6.3,76,85,Bachelor's,67370,Yes,8,Yes,Yes,Yes,No,65,66,56,67,64.6,C
S0142,Isabella Jones,Male,17,1.8,74,67,Bachelor's,60229,Yes,9,Yes,No,Yes,No,49,46,45,53,49.4,F
S0143,Jonathan Adams,Male,19,3.3,81,94,Bachelor's,71309,Yes,8,Yes,No,Yes,No,57,59,55,68,61.5,C
S0144,Benjamin Parker,Male,19,4.4,78,92,Bachelor's,73621,Yes,7,No,Yes,No,Yes,65,60,68,63,63.6,C
S0145,Nicholas Harris,Female,17,5.5,78,88,Bachelor's,59054,Yes,6,No,Yes,No,No,64,63,61,57,60.6,C
S0146,Brooklyn Martin,Female,18,4.8,63,71,High School,30935,Yes,8,No,Yes,Yes,Yes,51,58,51,58,55.2,D
S0147,Michael Clark,Male,17,4.9,55,72,Bachelor's,67172,Yes,7,No,No,Yes,No,52,51,55,57,54.2,D
S0148,Elizabeth Nelson,Male,17,8.1,89,63,Bachelor's,77778,Yes,7,Yes,No,Yes,Yes,70,78,72,71,72.3,B
S0149,Elizabeth Anderson,Male,18,3.2,68,87,Master's,101709,Yes,7,Yes,Yes,Yes,No,51,43,55,59,53.2,D
S0150,Gabriel Rodriguez,Male,17,6.7,74,69,High School,39726,Yes,7,Yes,Yes,Yes,Yes,62,58,68,65,63.3,C
S0151,Lily Turner,Female,17,4.5,79,65,Bachelor's,83056,Yes,7,Yes,No,Yes,Yes,57,52,59,64,59.1,D
S0152,Sarah Clark,Male,18,5.8,95,95,Bachelor's,62774,Yes,7,Yes,No,Yes,Yes,63,66,67,74,68.6,C
S0153,Nicholas Rogers,Male,17,8.2,77,90,Bachelor's,75245,No,6,Yes,Yes,Yes,No,62,76,78,75,72.4,B
S0154,Charles Mitchell,Male,15,6.0,70,79,Bachelor's,56985,Yes,8,Yes,No,Yes,No,69,66,62,62,64.6,C
S0155,Charles Scott,Female,16,5.6,69,81,Bachelor's,69252,Yes,6,No,Yes,Yes,No,66,60,64,65,64.1,C
S0156,Emily Sanchez,Male,17,7.4,75,58,PhD,131316,No,6,No,Yes,Yes,Yes,71,62,57,64,64.3,C
S0157,Emily Johnson,Female,18,6.7,64,91,Bachelor's,59603,Yes,7,No,No,No,Yes,54,68,68,67,64.1,C
S0158,Nicholas Martin,Male,17,3.8,75,75,Bachelor's,74162,Yes,8,No,Yes,Yes,Yes,58,60,67,52,57.4,D
S0159,Brandon Perez,Female,18,5.4,74,85,Master's,100960,Yes,7,Yes,Yes,Yes,No,62,70,64,65,65.1,C
S0160,Ryan Williams,Female,17,2.4,95,57,Bachelor's,64462,Yes,7,No,Yes,Yes,Yes,52,51,50,55,52.7,D
S0161,Ryan Moore,Male,17,4.2,74,92,Bachelor's,80216,No,7,Yes,No,No,No,63,65,63,60,62.2,C
S0162,David Rogers,Male,17,5.5,52,74,Bachelor's,69166,No,7,No,No,No,No,53,60,57,49,53.4,D
S0163,Abigail Rodriguez,Female,17,4.1,98,68,Master's,92754,Yes,9,Yes,Yes,Yes,No,67,55,61,68,64.1,C
S0164,William Brown,Female,18,5.4,86,79,Bachelor's,69246,Yes,9,No,Yes,Yes,No,66,58,58,70,64.8,C
S0165,Daniel Nelson,Male,18,5.0,98,76,High School,34078,No,7,Yes,Yes,Yes,No,68,73,81,63,69.0,C
S0166,Brooklyn Thomas,Female,17,5.8,61,93,Bachelor's,67853,Yes,7,Yes,No,Yes,No,62,62,63,53,58.6,D
S0167,Madison Robinson,Female,15,4.4,72,78,Master's,89042,Yes,8,No,Yes,Yes,Yes,58,55,49,54,54.4,D
S0168,Audrey Green,Female,16,3.6,83,96,High School,46284,No,5,Yes,No,Yes,No,55,61,66,61,60.2,C
S0169,Hannah Turner,Male,15,7.2,81,85,PhD,124389,Yes,7,No,Yes,Yes,Yes,74,72,77,81,76.8,B
S0170,Dylan Rodriguez,Female,18,4.3,79,91,Bachelor's,57575,Yes,7,No,Yes,Yes,Yes,69,54,52,69,63.4,C
S0171,Andrew King,Male,17,6.0,49,82,PhD,160733,Yes,9,No,Yes,Yes,Yes,49,58,46,56,53.2,D
S0172,Victoria Lewis,Female,17,7.2,54,95,PhD,144754,No,5,No,Yes,Yes,Yes,67,64,53,56,59.9,D
S0173,Natalie Nelson,Male,17,5.2,93,70,Bachelor's,73624,Yes,7,No,No,Yes,Yes,66,68,58,66,65.2,C
S0174,Chloe Morris,Male,16,3.7,95,83,High School,50350,Yes,8,Yes,Yes,Yes,Yes,60,68,68,71,67.2,C
S0175,Ryan Jones,Male,17,4.7,74,78,High School,53988,Yes,7,No,Yes,Yes,No,55,66,63,57,59.2,D
S0176,Brooklyn Harris,Female,16,6.5,92,96,High School,45470,Yes,6,No,Yes,No,Yes,85,71,67,63,70.7,B
S0177,Sophia Mitchell,Male,17,5.3,63,97,Master's,109704,Yes,9,No,Yes,Yes,No,67,66,61,55,61.1,C
S0178,Gabriel Thompson,Male,16,3.2,65,82,Bachelor's,60968,Yes,7,Yes,Yes,Yes,Yes,55,46,58,46,50.1,D
S0179,Leah Wright,Male,18,5.9,62,69,Bachelor's,84377,Yes,7,No,Yes,No,No,66,57,67,65,64.0,C
S0180,Natalie Scott,Female,16,6.2,65,86,Bachelor's,83572,Yes,6,No,Yes,Yes,No,64,68,52,66,63.8,C
S0181,Audrey Garcia,Female,19,4.5,84,65,PhD,117493,No,7,No,No,Yes,No,54,61,57,50,54.2,D
S0182,Nicholas Parker,Male,17,5.9,65,98,High School,34103,Yes,7,Yes,Yes,Yes,No,63,67,65,61,63.3,C
S0183,Jonathan Hall,Female,18,5.4,98,77,High School,32076,No,6,Yes,Yes,No,Yes,68,71,73,69,69.8,C
S0184,Christopher Reed,Female,17,4.7,81,82,High School,51615,Yes,6,Yes,No,No,No,67,64,57,63,63.3,C
S0185,Audrey Baker,Female,18,3.1,88,75,PhD,112994,Yes,8,No,Yes,Yes,Yes,57,65,68,60,61.4,C
S0186,Nicholas Nelson,Male,18,6.6,81,73,Bachelor's,58744,Yes,6,No,Yes,Yes,Yes,72,69,64,70,69.4,C
S0187,David Adams,Male,17,6.1,90,89,Bachelor's,69466,Yes,6,Yes,Yes,Yes,No,73,63,72,79,73.2,B
S0188,Joseph Nelson,Male,17,5.9,65,80,High School,44523,No,7,Yes,Yes,Yes,Yes,69,63,54,60,62.0,C
S0189,Michael White,Male,17,7.3,92,82,Bachelor's,82332,Yes,8,Yes,No,Yes,No,73,78,66,66,70.2,B
S0190,Charles Evans,Male,17,6.4,77,72,High School,35594,Yes,6,Yes,Yes,Yes,No,64,65,73,69,67.6,C
S0191,Joshua Brown,Female,15,6.0,90,91,PhD,117371,Yes,7,No,No,Yes,Yes,65,79,71,69,70.3,B
S0192,Sarah Sanchez,Male,17,1.7,58,92,Master's,103028,Yes,6,No,Yes,No,Yes,49,44,50,43,45.8,F
S0193,Elizabeth Cook,Male,17,6.8,77,80,Bachelor's,83947,Yes,5,Yes,Yes,Yes,Yes,72,68,72,61,66.8,C
S0194,Samantha Morris,Female,17,5.1,77,95,Master's,98990,Yes,6,Yes,No,Yes,No,70,74,71,64,68.6,C
S0195,Madison Walker,Male,18,5.5,68,81,High School,44083,Yes,8,Yes,Yes,Yes,No,61,60,63,56,59.1,D
S0196,Emma King,Female,18,5.5,79,90,Master's,101626,Yes,6,No,No,No,Yes,65,60,73,67,66.0,C
S0197,Zoe Johnson,Female,19,6.2,93,66,Master's,105469,Yes,5,Yes,Yes,Yes,Yes,77,64,71,77,73.5,B
S0198,Grace Thompson,Male,17,6.7,67,86,Bachelor's,62954,Yes,7,Yes,No,Yes,No,68,68,59,62,64.2,C
S0199,Sarah Nelson,Female,17,6.0,87,79,Master's,92130,Yes,8,Yes,Yes,Yes,No,68,69,66,77,71.5,B
S0200,Benjamin Edwards,Female,17,5.7,61,84,Bachelor's,61828,Yes,7,No,No,Yes,Yes,58,65,55,70,63.8,C
S0201,Brooklyn Phillips,Female,17,5.3,98,83,Bachelor's,79746,Yes,7,No,Yes,No,Yes,72,71,60,73,70.4,B
S0202,Christopher Evans,Female,18,1.0,84,83,High School,38844,Yes,5,No,No,Yes,No,50,63,67,51,55.6,D
S0203,Grace Mitchell,Female,16,4.6,96,88,Bachelor's,69220,Yes,7,Yes,Yes,Yes,Yes,65,75,69,64,67.2,C
S0204,Savannah Young,Female,18,3.6,83,76,Master's,102883,Yes,7,Yes,No,Yes,Yes,57,57,47,66,59.1,D
S0205,Elizabeth Taylor,Male,17,6.8,80,88,PhD,153059,No,7,Yes,Yes,Yes,No,69,67,73,68,68.8,C
S0206,William Perez,Male,17,5.9,85,94,Bachelor's,73542,Yes,7,No,No,No,No,70,72,73,68,70.0,B
S0207,Dylan Clark,Male,17,4.3,73,68,Master's,95450,Yes,7,Yes,Yes,Yes,Yes,55,57,56,46,52.0,D
S0208,John Rodriguez,Female,17,4.5,56,74,Master's,105423,No,6,Yes,Yes,Yes,Yes,52,53,54,54,53.3,D
S0209,Audrey Martin,Male,17,4.4,80,75,High School,32035,Yes,7,No,Yes,Yes,Yes,65,74,66,62,65.8,C
